efsaprodcode2_recoded,Alpha-Tocopherol,Calcium,Copper,Magnesium,"Niacin Equivalents, Total",Phosphorus,Potassium,Riboflavin,Thiamin,Total Iron,Total Selenium,Vitamin B-12,"Vitamin B-6, Total",Vitamin E; Alpha-Tocopherol Equiv From E Vitamer Activities,"Vitamin K, Total",Zinc,foodLevel1,foodLevel2,foodLevel3,foodLevel4,level1,level2,level3
"Corned pork meat, cooked",0.13102826240640408,1.81319474994812,0.048790164169432,3.1135153092103742,2.295560478057081,5.71042701737487,5.762051382780177,0.10345870836822998,0.37717340751605727,0.41871033485818504,0.010346292054144304,0.0004299075764937892,0.2851789422336624,0.13102826240640408,0.0,0.8712933659434193,254,86,0,0,13,55,37
"Corned pork, uncooked, PROCESS Baking",0.28065745751481647,3.5263605246161616,0.13278111123381847,3.5553480614894135,2.2209411039535354,5.2574953720277815,4.290459441148391,0.21026092548319608,0.1380212978973747,1.2820443397460914,0.0,0.0003999200213269354,0.1414995622736995,0.28065745751481647,0.0,1.727842976812722,253,266,4,0,13,55,156
"Corned pork, uncooked, PROCESS Cooking in water",0.28065745751481647,3.5263605246161616,0.13278111123381847,3.5553480614894135,2.2209411039535354,5.2574953720277815,4.290459441148391,0.21026092548319608,0.1380212978973747,1.2820443397460914,0.0,0.0003999200213269354,0.1414995622736995,0.28065745751481647,0.0,1.727842976812722,253,266,5,0,13,55,156
"Corned pork, uncooked, PROCESS Steaming",0.28065745751481647,3.5263605246161616,0.13278111123381847,3.5553480614894135,2.2209411039535354,5.2574953720277815,4.290459441148391,0.21026092548319608,0.1380212978973747,1.2820443397460914,0.0,0.0003999200213269354,0.1414995622736995,0.28065745751481647,0.0,1.727842976812722,253,266,8,0,13,55,156
Cornmeal porridge,0.0,1.9740810260220096,0.0657877405380031,2.9444389791664403,0.6643360987058257,4.437934266612178,3.756538102587751,0.03883602378519814,0.09748962127725708,0.6439569363691736,0.0,0.0,0.010939940038334362,0.3499523981779056,0.0,0.5970767118092116,255,0,0,0,10,11,144
"Cornmeal porridge, INGRED Cow milk, whole",0.09531017980432487,4.848116364598481,0.01044525786153865,2.5494451709255714,0.09531017980432487,4.562262684976814,5.063860055333554,0.1397619423751587,0.0295588022415444,0.09531017980432487,0.002895803112025565,0.0003999200213269354,0.048790164169432,0.09531017980432487,0.0,0.33647223662121295,255,5,33,0,10,11,144
"Cornmeal porridge, INGRED Tap water",0.3499523981779056,1.8382794848629478,0.0657877405380031,2.9444389791664403,0.6726528855453605,4.31748811353631,3.900528626002411,0.041690188958942595,0.117402010694639,0.6433565160569298,0.0,0.0,0.010939940038334362,0.3499523981779056,0.0,0.5459721144691122,255,6,0,0,10,11,144
Cottage cheese,0.09075436326846414,4.513994305322221,0.02844861617137019,2.305438161976452,1.4427759586697704,4.943681159299152,4.602308953707059,0.21626279022198733,0.028865080396172107,0.1484200051182733,0.004859601557349406,0.0006640651741929628,0.06230388333615485,0.10390946339051156,0.002995508979798479,0.4735686954102318,256,0,0,0,14,15,72
"Cottage cheese, QUAL Fat free",0.09531017980432487,4.827170226600222,0.008846468638929305,2.468099531471619,1.526677228693515,5.0616904648965395,4.939599520979504,0.19415601444095745,0.032467190137501496,0.12095261041766252,0.0027675952441604686,0.0005427098492222245,0.04851801829756591,0.05590763193829599,0.0,0.35667494393873234,256,20,0,0,14,15,72
"Cotton seed oil, edible",1.791759469228055,1.3873652161213836,0.004987541511039074,0.7592469822644691,0.0,1.6094379124341003,2.1972245773362196,0.0,0.0,0.05414721807044643,0.0,0.0,0.0,1.7847852054907187,0.0,0.019900661706336177,257,102,0,0,2,67,166
Courgettes,0.09531017980432487,3.060717123643404,0.05123614989769242,3.1618518557716655,0.548781801467484,3.5487960314981137,5.529429087511423,0.0410048349467827,0.09673773179551028,0.52667085104205,0.0007597113462419786,0.0,0.10654552753953571,0.1722712209404532,0.0030952049073024192,0.30884931445612773,258,0,0,0,19,35,41
Courgettes and similar-,0.09531017980432487,3.0923403120739157,0.04073056176897995,3.1756700389926693,0.6569276735643655,3.7246601913947743,5.6209183301530175,0.06404732909393708,0.10448870717179184,0.5584722772333437,0.0005998200719676155,0.0,0.10782889527214959,0.1722712209404532,0.0030952049073024192,0.23088493788043257,259,0,0,0,19,35,41
"Courgettes and similar-, PROCESS Baking",0.048790164169432,2.9444389791664403,0.045109931023619404,2.767935053558434,0.6340793819793792,3.3347522822540028,5.381870389366318,0.05082890085928029,0.12234404698394602,0.6187314687515405,0.0,0.0,0.08748745412311582,0.37266639635677823,0.0037728737524982655,0.175033156049535,259,9,0,0,19,35,41
"Courgettes and similar-, PROCESS Cooking in water",0.0,3.1945831322991562,0.0322735605502957,2.772588722239781,0.5916680116100915,3.5779478934066544,5.048573133436648,0.03177548367013518,0.11136246785346071,0.5484681691905015,0.0009995003330835331,0.0,0.08489246701796259,0.31787174361483855,0.010939940038334362,0.20391995634645052,259,11,0,0,19,35,41
"Courgettes and similar-, PROCESS Frying",0.0,3.6635616461296463,0.048790164169432,3.4965075614664802,0.6418538861723948,4.127134385045092,6.19644412779452,0.012775191488722826,0.09531017980432487,0.8754687373538999,0.0009995003330835331,0.0,0.08617769624105233,0.6043159668533294,0.0,0.4054651081081644,259,14,0,0,19,35,41
"Courgettes and similar-, PROCESS Steaming",0.0,3.1945831322991562,0.03343477608623739,2.975529566236472,0.6439569363691736,3.594568774642695,5.281171207713066,0.037295784743696894,0.12944806718688648,0.5710925345526395,0.0009995003330835331,0.0,0.09912109086780718,0.3104215594212703,0.0037728737524982655,0.2233035385155749,259,18,0,0,19,35,41
"Courgettes, PROCESS Baking",0.048790164169432,2.9589200861439657,0.0609606997896872,2.9878441007049847,0.532978428407124,3.4031003318082416,5.255260734226365,0.04141610371671696,0.07696104113612832,0.4380705821427265,0.0007996801705643321,0.0,0.07258640699708162,0.24592213820354936,0.0037728737524982655,0.2924563716120813,258,9,0,0,19,35,41
"Courgettes, PROCESS Cooking in water",0.0,3.1945831322991562,0.0322735605502957,2.772588722239781,0.5916680116100915,3.5779478934066544,5.048573133436648,0.04478214277189318,0.11136246785346071,0.5484681691905015,0.0009995003330835331,0.0,0.08489246701796259,0.31787174361483855,0.0037728737524982655,0.20391995634645052,258,11,0,0,19,35,41
"Courgettes, PROCESS Frying",0.6043159668533294,3.6635616461296463,0.048790164169432,3.4965075614664802,0.6418538861723948,4.127134385045092,6.19644412779452,0.009950330853168083,0.09531017980432487,0.8754687373538999,0.0009995003330835331,0.0,0.08617769624105233,0.6043159668533294,0.0,0.4054651081081644,258,14,0,0,19,35,41
"Courgettes, PROCESS Steaming",0.0,3.1945831322991562,0.03343477608623739,2.975529566236472,0.6439569363691736,3.594568774642695,5.281171207713066,0.05619127964974249,0.12944806718688648,0.5710925345526395,0.0009995003330835331,0.0,0.09912109086780718,0.3104215594212703,0.0037728737524982655,0.2233035385155749,258,18,0,0,19,35,41
Couscous,0.18232155679395465,3.0975149678639333,0.2288415724288475,3.744449305268747,1.5445488536749192,5.136638420299986,5.228814160781063,0.057864513699107716,0.11841775481447446,0.8475223249890582,0.0076705063042197,0.0,0.08918757877247073,0.5877866649021191,0.0,0.6910736036130365,260,0,0,0,10,51,141
"Couscous, PROCESS Cooking in water",0.37500590062345585,2.671188607798052,0.11079998062243056,2.8390784635086144,1.1399827042066348,4.582413198865475,4.430306464563292,0.031083298413731284,0.1022986901934241,0.8246765705137948,0.002092808547694631,0.0,0.063779304434064,0.05417247888839306,9.999500033330834e-05,0.4032722293155146,260,11,0,0,10,51,141
"Couscous, PROCESS Steaming",0.37500590062345585,2.671188607798052,0.11079998062243056,2.8390784635086144,1.1399827042066348,4.582413198865475,4.430306464563292,0.031083298413731284,0.1022986901934241,0.8246765705137948,0.002092808547694631,0.0,0.063779304434064,0.05417247888839306,9.999500033330834e-05,0.4032722293155146,260,18,0,0,10,51,141
"Cow milk, natural high fat",0.09531017980432487,4.788681510917635,0.00966740540213666,2.5427262206768266,0.5677459140186729,4.5417738694292975,5.03416579150645,0.1691398200918903,0.03522924133414235,0.05414721807044643,0.0013847550697041033,0.0004641779670225228,0.037158147966932925,0.14045735269525578,0.0003999200213269354,0.32518427684736156,261,179,0,0,14,43,111
"Cow milk, natural high fat, QUAL Low / reduced lactose",0.06765864847381481,4.795790545596741,0.006975613736425242,2.5649493574615367,0.5247285289349822,4.532599493153256,4.948759890378168,0.16551443847757338,0.03633192924739028,0.05826890812397577,0.0,0.0003999200213269354,0.038258712117090345,0.06765864847381481,0.0009995003330835331,0.33647223662121295,261,179,11,0,14,43,111
"Cow milk, semi skimmed (half fat)",0.05354076692802982,4.788681510917635,0.008364916331627708,2.5268708488870324,0.634988266386413,4.542838751251992,5.0805166596443225,0.17010437285536287,0.0394954006979284,0.0746435429957658,0.0015188459692698005,0.000372787648906327,0.039632716180464794,0.06695746812488096,9.999500033330834e-05,0.35367043491843364,261,239,0,0,14,43,111
"Cow milk, semi skimmed (half fat), FORT Mixed supplements/formulations",0.039220713153281295,4.844187086458591,0.007968169649176874,2.5107600286143343,0.826678573184468,4.586424143167036,5.058063987667366,0.19014799304341867,0.050693114315518116,0.05414721807044643,0.0009709570400418773,0.00037135960891263877,0.05286348955706782,0.09531017980432487,0.0,0.3546729412680593,261,239,2,0,14,43,111
"Cow milk, semi skimmed (half fat), QUAL Low / reduced lactose",0.09531017980432487,4.795790545596741,0.00966740540213666,2.4849066497880004,0.9230677161531787,4.51085950651685,4.864232301059824,0.1691398200918903,0.039220713153281295,0.09531017980432487,0.002796087302001274,0.0003999200213269354,0.048790164169432,0.09531017980432487,0.0,0.33647223662121295,261,239,11,0,14,43,111
"Cow milk, skimmed (low fat)",0.09531017980432487,4.8075277695424665,0.005584378293900614,2.5605440639936203,0.639294222048051,4.569987025224876,5.089358450225784,0.16393934879590505,0.036194159735565286,0.07076907088820725,0.0014047271943251186,0.0004141999216534737,0.04031901090234389,0.0,0.0,0.3794144309082218,261,245,0,0,14,43,111
"Cow milk, skimmed (low fat), FORT Mixed supplements/formulations",0.019802627296179712,4.770684624465665,0.002995508979798479,2.4336133554004498,0.16551443847757338,4.553876891600541,5.017279836814924,0.20468858694085068,0.048790164169432,0.05414721807044643,0.0035935355101301704,0.0005398542524667516,0.039220713153281295,0.019802627296179712,0.0,0.33647223662121295,261,245,2,0,14,43,111
"Cow milk, skimmed (low fat), QUAL Low / reduced lactose",0.09531017980432487,4.804021044733257,0.004276556767260232,2.5649493574615367,0.5944312076207876,4.51085950651685,5.081404364984463,0.17395330712343804,0.0295588022415444,0.09531017980432487,0.002796087302001274,0.0003999200213269354,0.048790164169432,0.09531017980432487,0.0,0.33647223662121295,261,245,11,0,14,43,111
"Cow milk, whole",0.08157998699242289,4.7934264783018605,0.010544213875671154,2.5268708488870324,0.5909562396633982,4.534441114299906,5.053512318452648,0.16551443847757338,0.036056371240686585,0.06140862812864351,0.0016999827815432384,0.00047274538114852756,0.04783732941416012,0.07696104113612832,0.0007663729279013366,0.3415613061286842,261,276,0,0,14,43,111
"Cow milk, whole, QUAL Low / reduced lactose",0.0,4.795790545596741,0.006975613736425243,2.5649493574615367,0.5247285289349821,4.532599493153256,4.948759890378168,0.16551443847757338,0.03633192924739028,0.05826890812397577,0.0,0.0003999200213269354,0.038258712117090345,0.06765864847381481,0.0009995003330835331,0.33647223662121295,261,276,11,0,14,43,111
"Crabmeat, cooked-deprecated",1.5260563034950492,4.8283137373023015,0.6261309257071586,3.5691302010040102,1.953473312826369,5.462771921513567,5.101085197018328,0.18529332718311212,0.036910354020097076,1.079817724534058,0.03536714383729131,0.0003932559980561415,0.15749203006936602,1.3674682568698417,0.000499875041651048,1.727842976812722,262,87,0,0,6,20,104
"Crabs, sea-spiders",1.2237754316221157,4.649870364905998,0.34864277224146817,4.0329756158458085,2.052840859882657,5.4116460518550396,5.425579146158964,0.04910757410702787,0.0532699110217152,1.2102388459045825,0.03536714383729131,0.004967640815509108,0.18707215955255244,1.4060969884160703,0.0,1.727842976812722,263,238,0,0,6,20,104
